timestamp,planner,start_x,start_y,goal_x,goal_y,error,cost,path_len,path_distance_m,planning_time_s,expanded
2025-09-13T11:13:12.932033,a_star,3,17,5,26,,9.82842712474619,10,920.0030537295008,0.11441275699962716,24
2025-09-13T11:13:12.951703,dijkstra,3,17,5,26,,9.82842712474619,10,920.0030537295008,0.01953113299987308,204
2025-09-13T11:13:12.967967,gbfs,3,17,5,26,,9.828427124746192,10,926.1924271097452,0.016140486000040255,10
2025-09-13T11:13:13.011427,jps,3,17,5,26,,9.82842712474619,3,903.1805902251313,0.043372509000619175,3
2025-09-13T11:13:13.027474,rrt_connect,3,17,5,26,,9.844148683629045,21,939.8949748356307,0.015873692999775812,22
2025-09-13T11:13:13.050363,rrt,3,17,5,26,,13.880331368996544,29,1210.4407984098748,0.02265251399967383,160
2025-09-13T11:13:13.063405,gbfs,3,17,5,26,,9.828427124746192,10,926.1924271097452,0.01290556200001447,10
2025-09-13T11:13:13.079026,a_star,17,6,2,24,,24.213203435596434,19,2145.3417581116396,0.015417865999552305,84
2025-09-13T11:13:13.131578,dijkstra,17,6,2,24,,24.213203435596434,19,2145.3417581116396,0.05223719999958121,1033
2025-09-13T11:13:13.144478,gbfs,17,6,2,24,,24.213203435596434,19,2149.153598144896,0.01269322000007378,19
2025-09-13T11:13:13.165655,jps,17,6,2,24,,24.213203435596427,3,2060.1781341154515,0.021062483000605425,3
2025-09-13T11:13:13.180067,rrt_connect,17,6,2,24,,23.434846518343996,48,2113.4302378548896,0.014094319999458094,49
2025-09-13T11:13:13.237871,rrt,17,6,2,24,,28.24830244078355,58,2565.9970304747344,0.0573651439999594,359
2025-09-13T11:13:13.249565,gbfs,17,6,2,24,,24.213203435596434,19,2149.153598144896,0.011528697999892756,19
2025-09-13T11:13:13.264349,a_star,34,35,21,21,,19.384776310850242,15,1705.6914764435796,0.01464028100053838,34
2025-09-13T11:13:13.298647,dijkstra,34,35,21,21,,19.384776310850242,15,1705.6914764435796,0.03409045900025376,713
2025-09-13T11:13:13.312995,gbfs,34,35,21,21,,19.384776310850242,15,1722.2611014817771,0.014127733000350418,15
2025-09-13T11:13:13.333426,jps,34,35,21,21,,19.384776310850235,3,1640.862832221196,0.02028799099934986,3
2025-09-13T11:13:13.348477,rrt_connect,34,35,21,21,,19.22676825019549,40,1708.1181487083575,0.01461645800009137,41
2025-09-13T11:13:13.375961,rrt,34,35,21,21,,25.10480397773637,52,2179.5393408940918,0.027026075999856403,210
2025-09-13T11:13:13.389874,gbfs,34,35,21,21,,19.384776310850242,15,1722.2611014817771,0.013642205999531143,15
2025-09-13T11:13:13.402220,a_star,3,10,8,21,,13.071067811865476,12,1166.8026846056948,0.011996692999673542,39
2025-09-13T11:13:13.425261,dijkstra,3,10,8,21,,13.071067811865476,12,1166.700564798295,0.022886407999976655,312
2025-09-13T11:13:13.438970,gbfs,3,10,8,21,,13.071067811865477,12,1195.9656897848672,0.013569294999797421,12
2025-09-13T11:13:13.457989,jps,3,10,8,21,,13.071067811865476,3,1155.4669435941832,0.018887922999965667,3
2025-09-13T11:13:13.469426,rrt_connect,3,10,8,21,,12.219452187875621,26,1113.3904429392353,0.011211578999791527,27
2025-09-13T11:13:13.485214,rrt,3,10,8,21,,17.595605766526727,37,1608.3930417181418,0.015479435000088415,71
2025-09-13T11:13:13.499439,gbfs,3,10,8,21,,13.071067811865477,12,1195.9656897848672,0.014005732999976317,12
2025-09-13T11:13:13.510930,a_star,35,21,44,15,,11.485281374238571,10,958.7445573632058,0.011335641000187024,27
2025-09-13T11:13:13.537962,dijkstra,35,21,44,15,,11.485281374238571,10,958.7445573632058,0.026854986999751418,366
2025-09-13T11:13:13.549258,gbfs,35,21,44,15,,11.485281374238571,10,1012.5222299439196,0.011141037999550463,10
2025-09-13T11:13:13.572049,jps,35,21,44,15,,11.48528137423857,3,938.6964024301321,0.022710574000484485,3
2025-09-13T11:13:13.585725,rrt_connect,35,21,44,15,,11.763194894080659,25,999.5661240717692,0.013483904000167968,26
2025-09-13T11:13:13.630837,rrt,35,21,44,15,,12.126131989718674,26,1053.6601835237234,0.044878178999169904,310
2025-09-13T11:13:13.643765,gbfs,35,21,44,15,,11.485281374238571,10,1012.5222299439196,0.012750662999678752,10
2025-09-13T11:13:13.698114,a_star,10,0,27,5,,19.071067811865476,18,1564.1354657075658,0.05412258900014422,82
2025-09-13T11:13:13.724808,dijkstra,10,0,27,5,,19.071067811865476,18,1564.1354657075658,0.02650373199958267,456
2025-09-13T11:13:13.739031,gbfs,10,0,27,5,,19.07106781186548,18,1578.7356435449542,0.014045850000002247,18
2025-09-13T11:13:13.755975,jps,10,0,27,5,,19.071067811865476,3,1540.5690282959417,0.01684773800025141,3
2025-09-13T11:13:13.892406,rrt_connect,10,0,27,5,,0,0,,0.13634894300048472,
2025-09-13T11:13:14.027537,rrt,10,0,27,5,,0,0,,0.13504684599956818,1
2025-09-13T11:13:14.040891,gbfs,10,0,27,5,,19.07106781186548,18,1578.7356435449542,0.013188338999498228,18
2025-09-13T11:13:14.064202,a_star,38,24,4,0,,43.94112549695428,35,3662.3829361034504,0.023030889999972715,345
2025-09-13T11:13:14.144879,dijkstra,38,24,4,0,,43.94112549695428,35,3666.84278959908,0.08029280299979291,1988
2025-09-13T11:13:14.156956,gbfs,38,24,4,0,,43.94112549695427,35,3783.9676831626844,0.011835090999738895,35
2025-09-13T11:13:14.178580,jps,38,24,4,0,,43.94112549695428,3,3616.9502025268353,0.021529860000555345,3
2025-09-13T11:13:14.321982,rrt_connect,38,24,4,0,,0,0,,0.143318962000194,
2025-09-13T11:13:46.973853,rrt,38,24,4,0,,0,0,,33.616056814999865,9543
2025-09-13T11:13:47.025547,gbfs,38,24,4,0,,43.94112549695427,35,3783.9676831626844,0.05083678400023928,35
2025-09-13T11:13:47.103292,a_star,20,28,6,2,,31.798989873223338,27,2851.401434441765,0.07706615699953545,237
2025-09-13T11:13:47.383807,dijkstra,20,28,6,2,,31.798989873223338,27,2846.1621347515343,0.279393280999102,1928
2025-09-13T11:13:47.415498,gbfs,20,28,6,2,,31.79898987322334,27,2879.668100026092,0.03125890899991646,27
2025-09-13T11:13:47.480043,jps,20,28,6,2,,31.79898987322333,3,2781.9313609376477,0.0643024080000032,3
2025-09-13T11:13:47.522521,rrt_connect,20,28,6,2,,29.614726237999992,61,2759.4882467615053,0.041654173999631894,62
2025-09-13T11:13:47.983429,rrt,20,28,6,2,,37.067884643844856,76,3303.0766617897593,0.4540291250004884,545
2025-09-13T11:13:48.026146,gbfs,20,28,6,2,,31.79898987322334,27,2879.668100026092,0.04216206799992506,27
2025-09-13T11:13:48.083056,a_star,5,42,9,8,,35.656854249492376,35,3308.3179983601567,0.0564028850003524,185
2025-09-13T11:13:48.230024,dijkstra,5,42,9,8,,35.656854249492376,35,3308.3179983601567,0.14575861999946937,1184
2025-09-13T11:13:48.272449,gbfs,5,42,9,8,,35.656854249492376,35,3374.585888053386,0.041597557999921264,35
2025-09-13T11:13:48.333378,jps,5,42,9,8,,35.65685424949238,3,3269.7379312732483,0.059886879000259796,3
2025-09-13T11:13:48.371196,rrt_connect,5,42,9,8,,34.56993350404524,71,3266.0317291846754,0.03599649799980398,72
2025-09-13T11:13:48.539400,rrt,5,42,9,8,,42.99225594483282,87,3913.6540165258566,0.165748378999524,314
2025-09-13T11:13:48.595532,gbfs,5,42,9,8,,35.656854249492376,35,3374.585888053386,0.055188065999573155,35
2025-09-13T11:13:48.660765,a_star,1,18,27,36,,33.45584412271572,27,2776.872837829106,0.06476915300027031,212
2025-09-13T11:13:48.849499,dijkstra,1,18,27,36,,33.45584412271572,27,2776.872837829106,0.18814715099961177,1341
2025-09-13T11:13:48.872463,gbfs,1,18,27,36,,33.45584412271572,27,2823.391198226178,0.022447448000093573,27
2025-09-13T11:13:48.915213,jps,1,18,27,36,,33.45584412271571,3,2746.9833932485594,0.04250640400005068,3
2025-09-13T11:13:48.936500,rrt_connect,1,18,27,36,,31.62277660168379,65,2623.4448598711924,0.020536220999929355,66
2025-09-13T11:13:49.013067,rrt,1,18,27,36,,40.31581765255471,82,3484.0249743105755,0.07572727800015855,314
2025-09-13T11:13:49.033038,gbfs,1,18,27,36,,33.45584412271572,27,2823.391198226178,0.019653260000268347,27
2025-09-13T11:13:49.051602,a_star,30,16,30,2,,14.0,15,1354.4908135017251,0.01835428999947908,15
2025-09-13T11:13:49.104898,dijkstra,30,16,30,2,,14.0,15,1354.4908135017251,0.052920746999916446,565
2025-09-13T11:13:49.127858,gbfs,30,16,30,2,,14.0,15,1354.4908135017251,0.02265586399971653,15
2025-09-13T11:13:49.159239,jps,30,16,30,2,,14.0,2,1297.3888306046797,0.0312143589999323,2
2025-09-13T11:13:49.180010,rrt_connect,30,16,30,2,,14.2464648183864,30,1367.7324867003213,0.020326566999756324,31
2025-09-13T11:13:49.282663,rrt,30,16,30,2,,15.273408952768165,32,1436.171827301121,0.10217661600017891,366
2025-09-13T11:13:49.303272,gbfs,30,16,30,2,,14.0,15,1354.4908135017251,0.02028490500015323,15
2025-09-13T11:13:49.326592,a_star,19,21,33,30,,17.72792206135786,15,1487.2586860827307,0.023049495000122988,65
2025-09-13T11:13:49.395883,dijkstra,19,21,33,30,,17.72792206135786,15,1487.2586860827307,0.06896615799996653,888
2025-09-13T11:13:49.414275,gbfs,19,21,33,30,,17.72792206135786,15,1517.3503123326382,0.018154948000301374,15
2025-09-13T11:13:49.444688,jps,19,21,33,30,,17.727922061357855,3,1440.5331056196621,0.030277566999757255,3
2025-09-13T11:13:49.463422,rrt_connect,19,21,33,30,,17.642731212250133,37,1471.0934443784467,0.018337172000428836,38
2025-09-13T11:13:49.492813,rrt,19,21,33,30,,19.819498633291527,41,1687.066902883911,0.028957249999621126,145
2025-09-13T11:13:49.582472,gbfs,19,21,33,30,,17.72792206135786,15,1517.3503123326382,0.08944060700014234,15
2025-09-13T11:13:49.606717,a_star,13,38,40,33,,29.071067811865476,28,2304.4687177446067,0.023938024999552,168
2025-09-13T11:13:49.680272,dijkstra,13,38,40,33,,29.071067811865476,28,2304.4687177446067,0.07312964699940494,1221
2025-09-13T11:13:49.697065,gbfs,13,38,40,33,,29.07106781186548,28,2278.2930734919546,0.01649854500010406,28
2025-09-13T11:13:49.721905,jps,13,38,40,33,,29.071067811865476,3,2244.5735930082155,0.02471280699955969,3
2025-09-13T11:13:49.738614,rrt_connect,13,38,40,33,,27.565447467060935,57,2142.577562387619,0.01624052499937534,58
2025-09-13T11:13:49.822613,rrt,13,38,40,33,,31.56280693602908,65,2557.142287359648,0.08343529499961733,393
2025-09-13T11:13:49.839693,gbfs,13,38,40,33,,29.07106781186548,28,2278.2930734919546,0.01679183399937756,28
2025-09-13T11:13:49.865356,a_star,36,20,0,25,,38.071067811865476,37,3015.5270276756287,0.025250298000173643,245
2025-09-13T11:13:49.963085,dijkstra,36,20,0,25,,38.071067811865476,37,3015.5270276756287,0.09723050699994928,1882
2025-09-13T11:13:49.979021,gbfs,36,20,0,25,,38.07106781186546,37,2996.3621013362786,0.015621978000126546,37
2025-09-13T11:13:50.004056,jps,36,20,0,25,,38.071067811865476,3,2917.972277101099,0.024915861000408768,3
2025-09-13T11:13:50.168242,rrt_connect,36,20,0,25,,0,0,,0.16410373199960304,
2025-09-13T11:14:20.200963,rrt,36,20,0,25,,0,0,,30.99476945400056,9534
2025-09-13T11:14:20.214734,gbfs,36,20,0,25,,38.07106781186546,37,2996.3621013362786,0.013299790999553807,37
2025-09-13T11:14:20.229307,a_star,41,32,27,43,,18.55634918610405,15,1562.8887198770146,0.01441009900008794,55
2025-09-13T11:14:20.260301,dijkstra,41,32,27,43,,18.55634918610405,15,1561.990462006415,0.030776915999922494,549
2025-09-13T11:14:20.274253,gbfs,41,32,27,43,,18.55634918610405,15,1558.6935957606834,0.013785131999611622,15
2025-09-13T11:14:20.295718,jps,41,32,27,43,,18.556349186104043,3,1537.4431733431675,0.021341204000236758,3
2025-09-13T11:14:20.306989,rrt_connect,41,32,27,43,,17.915033702627014,37,1499.8818278761175,0.01099096800044208,38
2025-09-13T11:14:20.353363,rrt,41,32,27,43,,23.338086709465056,48,2008.4919829727125,0.04578282000056788,278
2025-09-13T11:14:20.365498,gbfs,41,32,27,43,,18.55634918610405,15,1558.6935957606834,0.011782557999140408,15
2025-09-13T11:14:20.379871,a_star,34,40,42,38,,8.82842712474619,9,702.5386173098443,0.014252955999836558,21
2025-09-13T11:14:20.398900,dijkstra,34,40,42,38,,8.82842712474619,9,702.5386173098443,0.01885874999970838,183
2025-09-13T11:14:20.411612,gbfs,34,40,42,38,,8.82842712474619,9,702.8352481194836,0.012384650000058173,9
2025-09-13T11:14:20.435108,jps,34,40,42,38,,8.82842712474619,3,697.5029503687447,0.023394680999444972,3
2025-09-13T11:14:20.449923,rrt_connect,34,40,42,38,,8.541673046653024,19,673.7261645389843,0.014626698999563814,20
2025-09-13T11:14:20.586519,rrt,34,40,42,38,,9.224688931922817,20,746.7686071455631,0.13635521000014705,336
2025-09-13T11:14:20.598706,gbfs,34,40,42,38,,8.82842712474619,9,702.8352481194836,0.012031205000312184,9
2025-09-13T11:14:20.611649,a_star,31,33,42,26,,13.899494936611667,12,1139.888611781955,0.01276746199982881,37
2025-09-13T11:14:20.644186,dijkstra,31,33,42,26,,13.899494936611667,12,1139.888611781955,0.03226900499976182,535
2025-09-13T11:14:20.657769,gbfs,31,33,42,26,,13.899494936611669,12,1141.2932281333642,0.013414994999948249,12
2025-09-13T11:14:20.680020,jps,31,33,42,26,,13.899494936611665,3,1136.6511253919377,0.022113318999799958,3
2025-09-13T11:14:20.691377,rrt_connect,31,33,42,26,,13.612190098699307,29,1098.5256684957671,0.011072475999753806,30
2025-09-13T11:14:20.757686,rrt,31,33,42,26,,19.84253981680141,41,1649.1322422525132,0.06594498399954318,382
2025-09-13T11:14:20.771719,gbfs,31,33,42,26,,13.899494936611669,12,1141.2932281333642,0.01387611999962246,12
2025-09-13T11:14:20.790946,a_star,23,32,2,41,,24.72792206135786,22,2019.3772718549303,0.019025477000468527,148
2025-09-13T11:14:20.857175,dijkstra,23,32,2,41,,24.72792206135786,22,2019.3772718549303,0.0659379769995212,1387
2025-09-13T11:14:20.869803,gbfs,23,32,2,41,,24.727922061357862,22,2070.5055885528445,0.012418551000337175,22
2025-09-13T11:14:20.891620,jps,23,32,2,41,,24.727922061357855,3,1962.849473263168,0.021698047999962,3
2025-09-13T11:14:20.904879,rrt_connect,23,32,2,41,,22.855408917406372,47,1838.7851619766832,0.012904305000120075,48
2025-09-13T11:14:20.978045,rrt,23,32,2,41,,25.782253210507015,53,2117.9868680014324,0.07275109500005783,410
2025-09-13T11:14:20.990903,gbfs,23,32,2,41,,24.727922061357862,22,2070.5055885528445,0.012621651999324968,22
2025-09-13T11:14:21.024409,a_star,11,5,31,42,,45.28427124746189,38,4042.1734746236693,0.033180333000018436,460
2025-09-13T11:14:21.115168,dijkstra,11,5,31,42,,45.28427124746189,38,4042.1734746236693,0.09024202900036471,1945
2025-09-13T11:14:21.129021,gbfs,11,5,31,42,,45.28427124746188,38,4037.725446613718,0.013542667000365327,38
2025-09-13T11:14:21.151232,jps,11,5,31,42,,45.2842712474619,3,3962.9254953716863,0.022102087000348547,3
2025-09-13T11:14:21.166539,rrt_connect,11,5,31,42,,42.29005727253478,86,3907.007000270044,0.014681931000268378,87
2025-09-13T11:14:21.245781,rrt,11,5,31,42,,50.96366898947645,103,4579.786975584088,0.07848883799942996,422
2025-09-13T11:14:21.261065,gbfs,11,5,31,42,,45.28427124746188,38,4037.725446613718,0.014965201000450179,38
2025-09-13T11:14:21.277321,a_star,16,10,21,21,,13.071067811865477,12,1158.1819688908063,0.016098693999992975,45
2025-09-13T11:14:21.309915,dijkstra,16,10,21,21,,13.071067811865477,12,1158.1819688908063,0.0323926590008341,464
2025-09-13T11:14:21.324734,gbfs,16,10,21,21,,13.071067811865477,12,1159.6105294391325,0.014643495000200346,12
2025-09-13T11:14:21.346992,jps,16,10,21,21,,13.071067811865476,3,1152.799496720535,0.022138460999485687,3
2025-09-13T11:14:21.360343,rrt_connect,16,10,21,21,,12.821823167972958,27,1151.4710247916382,0.013040838999586413,28
2025-09-13T11:14:21.375653,rrt,16,10,21,21,,15.751459358599792,33,1402.207343216982,0.014938615000573918,61
2025-09-13T11:14:21.390743,gbfs,16,10,21,21,,13.071067811865477,12,1159.6105294391325,0.014924086000064563,12
